Loan_ID,Age,Employment_Type,Annual_Income,Loan_Amount,Loan_Tenure_Years,Credit_Score,Existing_Loans,EMI,Loan_Purpose,Default_Status
50064,26,Salaried,518777,800793,28,478,2,29004,Personal,No Default
50065,41,Salaried,1000008,957877,10,433,1,39631,Education,No Default
50066,30,Self-Employed,987555,938390,4,557,1,16431,Education,No Default
50067,52,Salaried,136738,325877,1,361,1,8174,Business,No Default
50068,53,Self-Employed,1001544,1084759,24,781,2,28069,Personal,No Default
50069,37,Self-Employed,1966663,1291761,26,776,1,77496,Personal,No Default
50070,23,Salaried,1511129,1050520,26,341,3,28859,Education,No Default
50071,63,Salaried,905286,1424552,25,672,4,42496,Personal,No Default
50072,38,Salaried,548262,970602,17,672,3,73964,Education,No Default
50073,30,Unemployed,1103218,659448,11,598,1,76496,Education,Default
50074,61,Salaried,709099,159318,7,351,2,49798,Education,No Default
50075,59,Salaried,306483,1417839,17,678,4,49642,Home,No Default
50076,63,Self-Employed,1061637,761240,28,611,3,46683,Education,Default
50077,28,Salaried,398059,624287,17,878,1,10451,Business,No Default
50078,54,Unemployed,556604,1407742,9,358,2,64643,Personal,Default
50079,57,Self-Employed,964221,310820,10,603,1,54095,Home,No Default
50080,61,Salaried,349811,216544,26,334,3,50394,Personal,No Default
50081,53,Salaried,1177313,269746,6,887,3,7275,Business,No Default
50082,30,Salaried,1915342,1364613,17,792,4,24855,Home,No Default
50083,60,Self-Employed,238973,1306447,16,790,2,24624,Personal,No Default
50084,38,Self-Employed,1231670,675586,7,520,0,20614,Home,No Default
50085,45,Salaried,578085,572419,19,896,1,62981,Education,No Default
50086,62,Salaried,634289,742661,26,422,2,60157,Education,No Default
50087,61,Unemployed,1632340,280876,4,401,0,22131,Personal,No Default
50088,56,Salaried,1374645,363738,20,814,2,68431,Business,No Default
50089,22,Self-Employed,1531524,289133,24,612,1,43620,Home,Default
50090,39,Salaried,1049315,966049,17,805,1,13041,Home,No Default
50091,30,Salaried,1899882,162696,24,793,4,78153,Personal,No Default
50092,23,Self-Employed,746888,109087,9,498,3,68646,Education,No Default
50093,39,Salaried,465218,525461,11,812,3,41591,Home,No Default
50094,46,Salaried,1017450,283793,23,629,3,76886,Education,No Default
50095,45,Salaried,1208065,769082,1,626,4,69673,Education,No Default
50096,37,Salaried,137896,708026,7,309,3,33207,Business,No Default
50097,30,Unemployed,1899070,1206281,22,426,2,15107,Education,No Default
50098,31,Salaried,554135,627801,5,530,3,3840,Education,No Default
50099,31,Unemployed,350616,164307,5,314,3,30240,Home,No Default
50100,32,Unemployed,881801,1302336,1,786,1,35510,Business,No Default
50101,60,Unemployed,927359,1062040,6,741,4,5160,Business,No Default
50102,28,Self-Employed,1118282,1376889,13,857,4,39309,Personal,No Default
50103,44,Salaried,1640322,822119,15,573,3,58718,Personal,No Default
50104,34,Unemployed,589200,67668,4,302,0,42449,Personal,No Default
50105,43,Salaried,1049834,285715,17,625,1,64858,Business,No Default
50106,56,Salaried,1351344,101810,28,552,3,25391,Education,No Default
50107,37,Salaried,1323218,977583,24,833,0,16295,Business,No Default
50108,25,Salaried,520067,592650,24,354,2,58561,Education,No Default
50109,23,Salaried,1169761,456135,28,747,1,49036,Personal,Default
50110,29,Salaried,1350541,1308942,13,596,4,42642,Personal,No Default
50111,40,Salaried,1799598,668698,11,672,0,61672,Education,No Default
50112,40,Salaried,1660475,552873,4,768,3,17597,Education,No Default
50113,39,Salaried,1100834,1155602,29,435,0,27180,Personal,No Default
50114,41,Self-Employed,432444,101376,7,545,4,65576,Education,No Default
50115,36,Salaried,1228701,931266,19,369,2,39473,Business,No Default
50116,53,Salaried,1078227,64156,24,780,0,2141,Personal,No Default
50117,25,Salaried,1158613,1114815,7,829,3,6655,Business,No Default
50118,44,Salaried,265177,974593,14,789,0,53250,Personal,No Default
50119,35,Salaried,1809356,63014,21,802,2,64971,Home,No Default
50120,46,Salaried,1885973,842349,16,416,0,40157,Business,No Default
50121,64,Salaried,872145,65350,21,556,2,27785,Home,No Default
50122,45,Salaried,1248693,1497534,9,727,2,9388,Personal,No Default
50123,48,Salaried,109779,545773,22,414,1,54957,Business,Default
50124,53,Unemployed,1684308,427380,22,793,1,35741,Business,No Default
50125,38,Salaried,190654,510591,2,361,3,2085,Business,No Default
50126,38,Self-Employed,1118182,264943,27,796,3,44756,Education,No Default
50127,58,Self-Employed,1608854,1440917,16,379,3,32395,Business,No Default
50128,53,Salaried,1324175,419698,5,784,2,52296,Business,No Default
50129,47,Unemployed,1221199,331035,12,321,2,65927,Home,No Default
50130,35,Self-Employed,1534869,864915,20,894,1,55816,Business,No Default
50131,64,Self-Employed,1550585,867567,26,623,2,49972,Education,No Default
50132,33,Salaried,267454,931525,15,816,1,55797,Business,No Default
50133,54,Salaried,495365,979186,3,560,0,65716,Home,No Default
50134,24,Salaried,1627013,324942,9,428,3,39034,Business,Default
50135,55,Salaried,1976355,1455295,27,583,3,44313,Business,No Default
50136,39,Self-Employed,1803842,1273567,28,346,4,55282,Home,No Default
50137,51,Self-Employed,414976,850630,7,487,1,60568,Personal,No Default
50138,45,Salaried,322786,681666,4,318,4,51135,Business,No Default
50139,60,Self-Employed,1621343,760862,25,898,3,28108,Personal,No Default
50140,32,Self-Employed,512882,606392,9,307,4,17870,Home,No Default
50141,32,Salaried,1151272,844035,28,336,0,62661,Home,No Default
50142,62,Salaried,1049677,986513,15,897,4,76975,Personal,No Default
50143,45,Salaried,112626,1259613,23,371,0,65828,Education,No Default
50144,53,Self-Employed,278359,1297337,21,680,3,7921,Education,Default
50145,57,Self-Employed,153303,1431017,29,565,2,21895,Home,No Default
50146,48,Salaried,1098354,728929,25,366,1,31215,Education,Default
50147,63,Salaried,1455513,774462,29,363,4,34356,Education,No Default
50148,29,Self-Employed,854969,1147987,7,329,0,15461,Home,No Default
50149,34,Self-Employed,1573083,1206580,25,856,3,26256,Business,No Default
50150,23,Salaried,1981215,566408,11,315,3,24883,Business,No Default
50151,25,Salaried,1968492,1256902,19,577,2,50916,Business,No Default
50152,46,Self-Employed,1760629,150148,11,576,3,32671,Education,No Default
50153,61,Salaried,1285406,417717,25,520,3,42927,Personal,No Default
50154,38,Salaried,1213071,356355,1,492,2,41284,Education,Default
50155,58,Self-Employed,787611,645420,21,323,3,71019,Business,Default
50156,41,Salaried,414951,1316337,13,440,0,12130,Home,No Default
50157,59,Self-Employed,876407,559924,13,325,4,73693,Home,Default
50158,36,Salaried,590585,1326253,2,397,4,41126,Home,No Default
50159,60,Salaried,1356367,366539,17,575,0,72675,Education,No Default
50160,43,Salaried,206809,213107,19,872,4,19311,Personal,No Default
50161,49,Salaried,311688,1264107,23,542,3,52889,Business,No Default
50162,30,Salaried,938206,1270935,15,732,4,15632,Home,No Default
50163,25,Self-Employed,1485335,280964,19,308,4,5038,Business,Default
50164,31,Salaried,1593433,463353,10,571,3,9219,Business,No Default
50165,49,Unemployed,1875750,1267170,10,331,4,74036,Education,No Default
50166,47,Salaried,1074771,1137517,27,778,3,20105,Home,Default
50167,54,Salaried,1467921,485273,9,427,2,31278,Education,No Default
50168,34,Salaried,661085,556027,19,316,2,29995,Business,No Default
50169,61,Self-Employed,234135,997193,11,852,4,4825,Business,No Default
50170,62,Salaried,1648448,123588,6,772,2,25054,Business,No Default
50171,30,Salaried,667435,293795,2,600,4,45694,Home,No Default
50172,62,Self-Employed,602063,294696,24,341,2,43178,Home,No Default
50173,31,Salaried,955860,1431960,10,351,4,18788,Home,No Default
50174,31,Salaried,1232233,631716,15,487,1,15077,Business,No Default
50175,55,Salaried,251676,1001549,5,450,0,61198,Business,Default
50176,39,Salaried,614984,1404391,18,543,2,33013,Personal,No Default
50177,44,Salaried,126484,883335,7,790,3,73694,Home,No Default
50178,21,Self-Employed,797690,1017174,3,426,0,54849,Business,No Default
50179,32,Self-Employed,490737,323859,21,708,4,39834,Business,No Default
50180,34,Self-Employed,159321,1295367,27,643,0,77563,Personal,Default
50181,23,Salaried,594915,1074972,25,890,3,34925,Personal,No Default
50182,52,Unemployed,1328775,405641,16,397,3,24295,Business,No Default
50183,36,Salaried,1249334,1119282,17,367,4,30253,Home,Default
50184,58,Salaried,1164404,741955,2,327,2,75457,Education,No Default
50185,30,Salaried,1153533,896087,16,328,2,48853,Education,No Default
50186,37,Self-Employed,905103,838929,21,511,1,19189,Education,No Default
50187,60,Salaried,1076084,63562,20,779,3,45154,Home,No Default
50188,24,Salaried,1271414,1455097,1,371,1,7183,Business,No Default
50189,35,Self-Employed,204596,1329887,14,790,3,21023,Education,No Default
50190,53,Salaried,590055,1317843,16,409,1,10957,Education,No Default
50191,59,Salaried,750342,845450,23,412,2,18620,Home,No Default
50192,30,Salaried,1076054,1258925,9,696,3,6491,Business,Default
50193,27,Self-Employed,698520,1273725,17,531,2,40728,Business,Default
50194,53,Salaried,1389911,1049773,8,342,0,66650,Home,No Default
50195,37,Salaried,1882284,492466,9,564,2,36567,Education,Default
50196,32,Unemployed,568347,739932,2,345,3,5387,Business,Default
50197,37,Salaried,961927,1155840,13,869,0,18025,Business,No Default
50198,36,Salaried,611637,962368,1,524,1,3446,Education,No Default
50199,34,Self-Employed,491942,447386,22,400,4,28610,Home,No Default
50200,23,Salaried,1950391,861146,7,580,3,38981,Education,Default
50201,64,Salaried,633180,99294,18,537,4,31309,Personal,No Default
50202,50,Salaried,1962788,738071,21,545,4,61388,Business,No Default
50203,61,Salaried,481945,1078203,5,398,0,32434,Home,No Default
50204,55,Self-Employed,456401,836652,7,499,1,36226,Education,No Default
50205,46,Salaried,1299037,351913,12,555,2,72834,Education,No Default
50206,32,Salaried,219478,1422669,27,736,0,20406,Home,No Default
50207,51,Self-Employed,1193657,389972,17,793,1,36716,Business,No Default
50208,37,Salaried,1406610,1115347,26,735,2,24989,Home,No Default
50209,57,Salaried,459049,818567,24,323,2,44580,Personal,No Default
50210,28,Salaried,1640106,373326,5,662,1,47731,Home,Default
50211,39,Salaried,375239,1306407,12,569,2,79541,Personal,No Default
50212,46,Salaried,1088261,475930,19,527,3,8861,Business,No Default
50213,24,Salaried,1175210,866861,13,427,3,42039,Education,No Default
50214,35,Salaried,279311,1399479,16,842,0,12353,Personal,No Default
50215,34,Self-Employed,1021181,509311,29,357,2,17630,Personal,No Default
50216,50,Self-Employed,1061283,307186,25,624,2,66050,Home,No Default
50217,62,Salaried,672161,1296955,27,405,1,61101,Home,No Default
50218,44,Salaried,191084,440903,19,736,3,72254,Education,No Default
50219,63,Salaried,566086,599228,23,384,4,18907,Business,No Default
50220,54,Salaried,800112,844108,10,301,0,6484,Personal,No Default
50221,39,Self-Employed,1994806,197972,12,736,3,25194,Education,No Default
50222,23,Self-Employed,400076,1028879,7,750,1,25886,Personal,No Default
50223,24,Salaried,698857,402585,14,864,0,10537,Education,No Default
50224,31,Salaried,1007980,640201,10,740,4,25399,Home,No Default
50225,33,Salaried,1271369,705519,28,521,0,8892,Home,Default
50226,38,Salaried,358406,567359,8,324,3,42544,Business,No Default
50227,39,Unemployed,1917129,480158,15,334,4,21267,Home,No Default
50228,64,Self-Employed,690108,1493991,26,642,1,42396,Education,Default
50229,53,Salaried,1384495,306382,16,665,0,33340,Personal,No Default
50230,58,Salaried,728162,1111556,8,635,3,45404,Education,No Default
50231,23,Salaried,1760515,1010501,4,732,1,38228,Business,No Default
50232,55,Self-Employed,418907,486575,17,756,4,53736,Home,Default
50233,21,Self-Employed,1232931,403480,4,778,0,76884,Home,No Default
50234,55,Salaried,140291,489222,22,697,2,17637,Personal,No Default
50235,56,Self-Employed,602543,592660,26,642,3,78760,Business,No Default
50236,58,Salaried,571464,957432,11,579,3,48180,Business,Default
50237,59,Salaried,1510053,58168,13,651,2,57699,Home,No Default
50238,45,Self-Employed,1049801,337110,6,496,1,68843,Business,No Default
50239,60,Salaried,523807,834217,22,524,3,79962,Education,No Default
50240,33,Self-Employed,386619,744369,14,346,1,17580,Business,No Default
50241,24,Salaried,153603,311496,28,484,4,70388,Education,No Default
50242,26,Salaried,905782,1094414,7,461,2,53376,Education,No Default
50243,31,Salaried,852380,996515,12,594,1,38212,Education,No Default
50244,21,Salaried,435435,1444194,27,391,4,67220,Home,No Default
50245,28,Salaried,1509577,578335,1,886,0,49404,Education,Default
50246,54,Salaried,884222,328659,10,467,3,52403,Personal,No Default
50247,60,Salaried,837547,250287,1,557,2,28247,Business,No Default
50248,29,Salaried,441883,728097,16,856,0,72277,Education,No Default
50249,56,Self-Employed,1696383,1314644,7,608,0,49502,Personal,No Default
50250,59,Salaried,1477496,1242575,28,428,0,28607,Home,No Default
50251,62,Self-Employed,956127,114565,20,849,1,65543,Home,No Default
50252,57,Salaried,446553,886024,6,868,3,49001,Home,Default
50253,62,Salaried,1402194,542723,22,460,2,44191,Home,No Default
50254,64,Salaried,766140,1483840,25,475,3,58957,Business,No Default
50255,41,Salaried,1924018,932449,18,587,3,34802,Home,Default
50256,40,Salaried,239733,397455,20,704,3,48031,Business,No Default
50257,58,Salaried,594807,135641,4,879,4,46431,Personal,No Default
50258,21,Salaried,128512,1274726,23,639,4,25671,Home,No Default
50259,55,Unemployed,1166979,482759,16,567,4,42668,Home,No Default
50260,48,Salaried,1715847,1491394,1,517,4,29573,Personal,No Default
50261,27,Self-Employed,1977557,663368,21,463,3,45542,Personal,No Default
50262,63,Salaried,981517,518147,27,690,3,68598,Business,No Default
50263,64,Self-Employed,935151,494255,20,716,2,67258,Education,No Default
50264,29,Salaried,432993,782613,2,347,2,11782,Business,Default
50265,21,Unemployed,737639,938930,16,493,2,42862,Education,No Default
50266,56,Salaried,569004,1263160,21,383,2,43006,Business,No Default
50267,54,Salaried,875872,361748,9,346,2,6774,Education,No Default
50268,54,Salaried,207915,839694,15,533,4,72615,Home,No Default
50269,37,Salaried,1436176,74129,24,598,3,32715,Education,No Default
50270,52,Unemployed,1378790,852956,16,446,2,14180,Personal,No Default
50271,22,Self-Employed,1075599,330242,9,495,1,58400,Personal,No Default
50272,56,Self-Employed,1157037,388692,7,321,2,22148,Education,No Default
50273,45,Salaried,1831881,1354750,10,493,2,54184,Home,No Default
50274,63,Self-Employed,539906,765171,7,685,3,46342,Home,No Default
50275,46,Salaried,694651,493043,13,663,4,55479,Education,No Default
50276,46,Salaried,188907,1003777,2,573,0,34853,Education,No Default
50277,41,Self-Employed,702727,119138,12,683,3,78904,Personal,No Default
50278,38,Salaried,1037391,73059,13,507,4,16066,Personal,No Default
50279,49,Salaried,1898008,1271525,3,574,1,41995,Business,No Default
50280,44,Salaried,523319,466104,11,795,0,38059,Home,No Default
50281,48,Salaried,1490656,733758,26,838,4,10779,Home,No Default
50282,32,Salaried,746800,834829,8,826,4,43562,Home,No Default
50283,31,Salaried,885445,661011,11,458,3,66627,Business,No Default
50284,47,Self-Employed,528059,395794,18,759,4,66981,Business,No Default
50285,43,Self-Employed,805824,127156,7,693,2,50294,Personal,No Default
50286,53,Unemployed,1918519,603520,12,738,4,12353,Personal,No Default
50287,36,Salaried,966158,456500,6,678,0,14871,Education,Default
50288,48,Self-Employed,708492,1356682,28,463,4,45377,Business,No Default
50289,48,Self-Employed,1704733,155332,10,629,1,75052,Business,No Default
50290,58,Salaried,223263,112630,20,869,2,23670,Business,No Default
50291,26,Salaried,1146853,938454,27,446,0,12311,Home,Default
50292,62,Salaried,1930996,161558,15,409,0,6955,Personal,No Default
50293,49,Salaried,1065356,1072896,20,693,3,45360,Education,No Default
50294,54,Salaried,931733,805288,15,860,3,15322,Business,No Default
50295,23,Salaried,1589283,477790,19,481,2,2152,Business,No Default
50296,26,Salaried,1000000,504918,6,872,0,15473,Business,No Default
50297,58,Salaried,1787414,1321214,19,742,1,73445,Home,No Default
50298,33,Salaried,147369,1294787,15,429,4,29009,Education,No Default
50299,56,Self-Employed,1003928,113683,25,702,4,67674,Education,No Default
50300,35,Self-Employed,1878467,124081,20,804,4,16541,Business,No Default
50301,26,Salaried,623468,476924,20,321,3,73775,Education,No Default
50302,53,Salaried,1982339,774841,18,316,0,79270,Home,No Default
50303,61,Salaried,128911,471934,2,581,0,53517,Business,No Default
50304,32,Salaried,223976,440452,7,526,1,2018,Personal,No Default
50305,63,Salaried,341310,1238069,5,719,3,44396,Personal,No Default
50306,33,Self-Employed,342051,520426,3,672,1,53113,Education,No Default
50307,53,Salaried,368665,236683,6,600,0,78182,Personal,No Default
50308,48,Self-Employed,139123,898972,6,585,4,41880,Personal,No Default
50309,56,Self-Employed,546087,555917,1,415,3,60206,Business,No Default
50310,25,Salaried,1442234,1040778,19,448,3,18484,Home,No Default
50311,45,Salaried,137539,820285,12,703,3,41606,Business,Default
50312,37,Salaried,1970472,1036812,5,389,4,49121,Home,No Default
50313,57,Salaried,1718090,848797,27,418,3,64618,Business,No Default
50314,39,Salaried,539447,745215,29,392,2,16464,Personal,No Default
50315,55,Unemployed,695620,683879,27,746,3,74671,Business,No Default
50316,63,Self-Employed,657864,1398742,7,611,4,73565,Education,No Default
50317,54,Unemployed,1126151,1033390,20,617,3,64778,Education,No Default
50318,26,Salaried,103293,640736,28,420,2,4509,Home,No Default
50319,39,Salaried,469945,1135789,8,616,2,48240,Home,No Default
50320,21,Salaried,234531,1419368,19,437,3,3955,Home,No Default
50321,27,Salaried,905235,1371435,6,583,0,77382,Education,Default
50322,54,Salaried,956192,534540,15,819,0,9078,Business,No Default
50323,39,Salaried,1942579,762262,6,804,1,55932,Personal,No Default
50324,53,Salaried,125772,1113799,9,690,2,73699,Home,Default
50325,46,Unemployed,940151,1000739,4,304,0,47601,Business,Default
50326,61,Unemployed,638459,1022017,16,666,1,26377,Business,No Default
50327,62,Salaried,1262203,1415175,23,791,0,74251,Education,Default
50328,47,Self-Employed,742500,830765,10,765,3,41373,Education,No Default
50329,58,Salaried,991487,1282375,1,534,2,58683,Personal,No Default
50330,46,Salaried,1748117,585679,11,661,0,57001,Business,No Default
50331,55,Self-Employed,1884883,1187088,17,821,3,20754,Home,No Default
50332,40,Salaried,1482493,594997,18,541,1,44970,Education,No Default
50333,44,Self-Employed,601311,1001336,20,741,3,79863,Business,No Default
50334,41,Self-Employed,1551028,218728,28,487,1,49055,Education,No Default
50335,46,Self-Employed,798473,1080817,22,703,0,15221,Business,No Default
50336,40,Unemployed,146927,63111,20,726,4,15870,Education,No Default
50337,26,Salaried,1317735,311459,15,712,3,5740,Home,No Default
50338,23,Salaried,249323,469485,6,813,4,21105,Personal,No Default
50339,30,Salaried,986111,1160851,16,453,2,76387,Home,Default
50340,32,Salaried,754616,199850,2,502,4,43672,Education,No Default
50341,53,Salaried,468578,682841,25,516,2,76902,Education,No Default
50342,42,Self-Employed,1370371,142704,27,781,0,30519,Education,No Default
50343,36,Salaried,467440,1356570,3,614,0,52712,Home,No Default
50344,37,Unemployed,900282,1216184,23,300,3,60328,Education,No Default
50345,30,Self-Employed,709524,358562,17,802,4,10687,Home,No Default
50346,32,Salaried,1587795,1355622,8,577,2,56560,Education,No Default
50347,39,Salaried,1756382,243732,20,493,2,45622,Personal,No Default
50348,60,Salaried,367093,88708,27,547,4,61470,Personal,No Default
50349,43,Salaried,392725,1467072,28,387,0,66949,Education,Default
50350,60,Salaried,696396,1208020,15,733,0,70111,Business,No Default
50351,30,Salaried,1830489,160353,13,719,2,25892,Home,No Default
50352,30,Self-Employed,1571525,556128,21,552,3,3082,Education,No Default
50353,30,Salaried,867394,494345,23,728,0,53905,Home,Default
50354,59,Self-Employed,1722654,223506,19,463,1,10735,Business,No Default
50355,50,Self-Employed,1906406,911290,25,794,2,13255,Personal,Default
50356,24,Salaried,831010,566976,25,461,4,12094,Home,No Default
50357,21,Salaried,1542437,338121,24,806,4,62515,Home,No Default
50358,63,Self-Employed,826780,1308407,1,564,2,32651,Home,No Default
50359,39,Unemployed,1958060,1178278,28,409,2,36918,Home,No Default
50360,25,Salaried,1830510,1444390,29,618,0,8103,Home,No Default
50361,50,Salaried,182009,410449,12,431,2,62146,Personal,No Default
50362,46,Salaried,1327552,780232,18,432,2,56390,Home,No Default
50363,60,Salaried,602990,91108,18,693,1,51158,Home,No Default
50364,54,Salaried,1491677,737027,3,851,4,29011,Personal,No Default
50365,22,Salaried,946142,332775,18,334,0,60889,Education,Default
50366,44,Self-Employed,1141207,663940,17,870,3,64267,Education,No Default
50367,34,Salaried,985286,868853,11,671,0,53241,Home,No Default
50368,61,Salaried,105224,596707,5,330,4,6191,Personal,Default
50369,62,Salaried,277390,748673,22,473,3,7623,Home,Default
50370,33,Self-Employed,1973357,117579,29,689,2,4293,Education,No Default
50371,49,Salaried,1472286,182774,7,405,1,22593,Personal,No Default
50372,21,Unemployed,1595122,1142465,26,574,1,79302,Business,No Default
50373,54,Salaried,1682299,455978,23,395,4,63384,Personal,No Default
50374,24,Salaried,945416,1226358,18,329,4,37992,Education,No Default
50375,48,Salaried,1633856,1059279,29,460,1,17848,Personal,No Default
50376,39,Self-Employed,204395,928624,7,605,3,63173,Business,Default
50377,21,Salaried,1446121,1211993,18,495,3,17759,Personal,No Default
50378,56,Salaried,860454,367122,2,637,0,9517,Home,No Default
50379,63,Self-Employed,1872973,1392850,28,437,2,32980,Home,No Default
50380,33,Self-Employed,501981,929774,6,746,3,71126,Education,No Default
50381,62,Salaried,878752,491114,22,609,2,10455,Personal,Default
50382,25,Self-Employed,1729262,489834,8,478,4,8944,Education,No Default
50383,53,Salaried,1185504,862258,21,636,3,66627,Personal,No Default
50384,34,Salaried,1125964,1392715,21,533,3,66723,Education,No Default
50385,36,Salaried,530035,1234110,26,548,3,29100,Personal,No Default
50386,52,Salaried,675670,539224,17,431,0,68176,Home,No Default
50387,47,Salaried,1989345,1133380,4,548,4,2858,Education,No Default
50388,55,Salaried,1343970,1317973,17,754,1,39011,Education,No Default
50389,23,Salaried,1000963,728533,26,798,0,17437,Business,No Default
50390,24,Salaried,1074031,1228666,16,362,0,27550,Personal,No Default
50391,27,Salaried,1089237,829794,21,691,3,27861,Home,No Default
50392,33,Salaried,965500,1325919,15,556,0,43011,Home,No Default
50393,61,Salaried,364427,109496,15,547,1,30929,Home,No Default
50394,23,Salaried,1055256,976486,8,563,0,3019,Education,No Default
50395,37,Self-Employed,575747,931866,17,766,0,26284,Home,No Default
50396,30,Salaried,426590,1433119,19,660,3,79350,Education,No Default
50397,21,Salaried,1599573,1379052,1,692,4,77640,Business,No Default
50398,48,Salaried,459403,1251136,13,478,1,76015,Home,No Default
50399,30,Self-Employed,617555,1446783,6,805,3,72909,Business,No Default
50400,27,Salaried,1188181,1177059,10,798,0,34371,Personal,No Default
50401,59,Salaried,1457220,1491044,1,591,1,15234,Personal,No Default
50402,23,Salaried,1123083,331376,26,887,2,65172,Business,Default
50403,27,Unemployed,239787,1483713,12,398,0,8357,Personal,No Default
50404,29,Salaried,293978,803369,19,480,4,23595,Home,No Default
50405,60,Salaried,1512601,103685,15,702,0,47599,Home,No Default
50406,55,Salaried,1228851,1115121,21,673,4,9772,Education,No Default
50407,46,Salaried,1826806,520856,5,552,2,55890,Business,No Default
50408,25,Salaried,784831,1156423,2,421,3,30684,Business,No Default
50409,33,Self-Employed,1815526,325491,19,741,3,56085,Education,Default
50410,50,Salaried,380789,707994,14,544,3,61924,Home,No Default
50411,60,Salaried,1018527,1355033,29,790,1,13708,Business,No Default
50412,59,Salaried,1109195,448317,9,345,4,9670,Education,No Default
50413,30,Salaried,1959905,661974,29,751,0,72470,Business,No Default
